post_timestamp,post_title,post_content,Lap_Label,LapNumber
2024-07-08 00:05:55,축구에서 마루타 ㅇㅈㄹ하면 개딸딸피들 거품물텐데 ㅋㅋㅋㅋ,"역시 유쾌함은 엪평 ㅋㅋㅋㅋㅋ
- dc official App",40,40.0
2024-07-08 00:05:56,소프트? 괜찮나,,40,40.0
2024-07-08 00:06:06,오늘 방송 상태 존나씹창났네,- dc official App,40,40.0
2024-07-08 00:06:11,다양성 ㄷㄷㄷㄷㄷ,,40,40.0
2024-07-08 00:06:14,비그치고 무지개 폈네,타이어가,40,40.0
2024-07-08 00:06:16,타이어 색깔이 파워레인저네,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ형형색색,40,40.0
2024-07-08 00:06:24,cg팀 신삥들 들어왔나,아오,40,40.0
2024-07-08 00:06:26,사전트 포인트 되냐,흠,40,40.0
2024-07-08 00:06:25,마굿간 이렇게된거 그냥 갈아서 쓰자,그냥 인터 갈아서 슬릭으로 쓰자,40,40.0
2024-07-08 00:06:34,알록달록 웻 빼고 다 존재하노 ㅋㅋ,이쁘네,40,40.0
2024-07-08 00:06:34,노리스 소프트 ????,,40,40.0
2024-07-08 00:06:34,슬릭 아무거나줘,- dc official App,40,40.0
2024-07-08 00:06:35,무지개 씹 ㅋㅋ,- dc official App,40,40.0
2024-07-08 00:06:39,타이어 갈갈 심해서 하드낀듯,"레드불 타이어 갈갈 심함
- dc official App",40,40.0
2024-07-08 00:06:39,본질 op,,40,40.0
2024-07-08 00:06:40,스트롤 헐크 얘네들 뭔가 아래로 쭉떨어질삘인데,"ㅋㅋㅋㅋㅋ
- dc official App",40,40.0
2024-07-08 00:06:44,오 소프트 ㅋㅋㅋㅋ,,40,40.0
2024-07-08 00:06:51,아니 씨발 이 상황에 4.5,,40,40.0
2024-07-08 00:06:51,노리스 소프트낀다 ㅋㅋㅋㅋ,,40,40.0
2024-07-08 00:06:52,노리스 햄 그가자 ㅋㅋㅋㅋ,,40,40.0
2024-07-08 00:06:53,너무 앞으로 갔네 ㅋㅋㅋㅋ,,40,40.0
2024-07-08 00:06:53,소프트 12랩 버티겠죠,,40,40.0
2024-07-08 00:06:54,핏스탑 4.5,,40,40.0
2024-07-08 00:06:54,곤조는 노평 ㅋㅋ,,40,40.0
2024-07-08 00:06:53,4.5 ㅋㅋㅋㅋㅋ,,40,40.0
2024-07-08 00:06:56,그냥 소프트로해주네,오 ㅋㅋ,40,40.0
2024-07-08 00:06:56,미듐이 맞는거같ㅇ은데,흠,40,40.0
2024-07-08 00:06:58,노리스 차가 밀림 ㅋㅋㅋㅋ,"4.5초 ㅋㅋㅋㅋ
- dc official App",40,40.0
2024-07-08 00:06:58,시간좆망 ㅋㅋㅋㅋㅋㅋㅋ,,40,40.0
2024-07-08 00:06:59,주차 잘못했네,ㅇㅇ,40,40.0
2024-07-08 00:06:59,개좆라렌 4.5초ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,",.ㅡㅜ",40,40.0
2024-07-08 00:06:59,노물대전 볼 수 있나?,ㄹㅇ,40,40.0
2024-07-08 00:07:00,4.5ㅋㅋㅋㅋ,,41,41.0
2024-07-08 00:07:01,이제 노리스 미끌하면 완성이야,유후,41,41.0
2024-07-08 00:07:01,시발 4,5??,41,41.0
2024-07-08 00:07:01,대 밀턴 ㅅㅅㅅㅅ,가즈아,41,41.0
2024-07-08 00:07:01,경 역전 ㅋㅋㅋㅋㅋ,,41,41.0
2024-07-08 00:07:02,배르스타펜이 피트스탑은 제일 빠르네,,41,41.0
2024-07-08 00:07:04,노리스 전략은 빰아리 갈겨야하는거 아닌교,- dc official App,41,41.0
2024-07-08 00:07:06,대물탕ㅋㅋㅋㅋ,ㅋㅋ,41,41.0
2024-07-08 00:07:06,씨발 맥라렌 개새끼들아,,41,41.0
2024-07-08 00:07:07,해물탕 우승,ㄱㅈㅈ,41,41.0
2024-07-08 00:07:06,원망안들을려고 소프트 줬놐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,41,41.0
2024-07-08 00:07:07,ㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋ,41,41.0
2024-07-08 00:07:07,경의 품격,ㅋㅋㅋㅋㅋㅋㅋ,41,41.0
2024-07-08 00:07:08,걍 1등ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,41,41.0
2024-07-08 00:07:08,대 밀 턴ㅅㅅㅅㅅ,- dc official App,41,41.0
2024-07-08 00:07:10,아니 노리스 왤케 떨어져서 세움,,41,41.0
2024-07-08 00:07:10,걍 빠르게 안 바꾸네 저 시발럼들,뭐하냐?,41,41.0
2024-07-08 00:07:11,이거 저번 그랑프리 데자뷰인가 ㅋㅋ,,41,41.0
2024-07-08 00:07:11,대 밀 턴,,41,41.0
2024-07-08 00:07:11,해밀턴 1위 ㄷ,,41,41.0
2024-07-08 00:07:11,무관행동 ON,또 설레발치기 시작ㅋㅋ,41,41.0
2024-07-08 00:07:11,물탕아 가자 가자 가자,- dc official App,41,41.0
2024-07-08 00:07:11,어어 경 우승 가나 제발,ㅋㅋㅋ,41,41.0
2024-07-08 00:07:13,f1색갈놀이,알록달록,41,41.0
2024-07-08 00:07:13,막가놈 왜 하드냐,대체,41,41.0
2024-07-08 00:07:14,걍 쉽게 역전 ㅋㅋ,ㅋㅋㅋ,41,41.0
2024-07-08 00:07:14,대물탕 지켜,제발,41,41.0
2024-07-08 00:07:14,경우승가자제발,ㄱㄱ,41,41.0
2024-07-08 00:07:16,무관기운 onㅋㅋㅋㅋㅋ,ㅋㅋ,41,41.0
2024-07-08 00:07:15,its hammer time,가자ㅏㅏㅏㅏ,41,41.0
2024-07-08 00:07:16,자우버 또 7.2초 이지라 ㄹㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋ,41,41.0
2024-07-08 00:07:16,저우 7.2 ㅋㅋㅋ,"ㅇㅇ
- dc official App",41,41.0
2024-07-08 00:07:16,대 물 탕 ㅋㅋㅋ,ㅋㅋ,41,41.0
2024-07-08 00:07:16,경 의 품 격,,41,41.0
2024-07-08 00:07:19,대 물 탕,ㅋㅋㅋㅋ,41,41.0
2024-07-08 00:07:20,브레끼 잘못 밟음 4.5초 ㅂㅅ,- dc official App,41,41.0
2024-07-08 00:07:22,맥라렌은 소프트 가야지,"후반 타이어 성능 유지 잘되니까
- dc official App",41,41.0
2024-07-08 00:07:23,이걸 핏스탑이 ㅋㅋ,,41,41.0
2024-07-08 00:07:24,오늘고 유니언잭 흔드냐???,,41,41.0
2024-07-08 00:07:23,대물탕 제발,,41,41.0
