post_timestamp,post_title,post_content,Lap_Label,LapNumber,combined_raw_text,processed_text,Toxicity_Score
2024-12-08 22:06:14,병신 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,2,2.0,병신 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,병신 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.6728440523147583
2024-12-08 22:06:15,진짜 막스 이새끼 운전 존나 좆같이하네,시벌롬,2,2.0,진짜 막스 이새끼 운전 존나 좆같이하네 시벌롬,진짜 막스 이새끼 운전 존나 좆같이하네 시벌롬,0.9495054483413696
2024-12-08 22:06:14,체황 사망ㅋㅋㅋㅋㅋ,,2,2.0,체황 사망ㅋㅋㅋㅋㅋ ,체황 사망ㅋㅋㅋㅋㅋ,0.6379421353340149
2024-12-08 22:06:15,기습체평ㅋㅋㅋ,,2,2.0,기습체평ㅋㅋㅋ ,기습체평ㅋㅋㅋ,0.4389761984348297
2024-12-08 22:06:15,병신 레전드 마무리 ㅋㅋ,,2,2.0,병신 레전드 마무리 ㅋㅋ ,병신 레전드 마무리 ㅋㅋ,0.08783295750617981
2024-12-08 22:06:14,병신 또ㅋㅋㅋㅋ,,2,2.0,병신 또ㅋㅋㅋㅋ ,병신 또ㅋㅋㅋㅋ,0.5902591943740845
2024-12-08 22:06:15,개 ㅂㅅ,,2,2.0,개 ㅂㅅ ,개 ㅂㅅ,0.7883176803588867
2024-12-08 22:06:15,개씨발 체평ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,2,2.0,개씨발 체평ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,개씨발 체평ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.9356144666671753
2024-12-08 22:06:16,저새끼 엔진 나간거냐 병신 ㅋㅋㅋ,,2,2.0,저새끼 엔진 나간거냐 병신 ㅋㅋㅋ ,저새끼 엔진 나간거냐 병신 ㅋㅋㅋ,0.940881609916687
2024-12-08 22:06:16,몽골 개쳐웃기네 십ㅋㅋㅋㅋ,,2,2.0,몽골 개쳐웃기네 십ㅋㅋㅋㅋ ,몽골 개쳐웃기네 십ㅋㅋㅋㅋ,0.9480182528495789
2024-12-08 22:06:16,체황 사망ㅋㅋㅋㅋㅋㅋㅋ,,2,2.0,체황 사망ㅋㅋㅋㅋㅋㅋㅋ ,체황 사망ㅋㅋㅋㅋㅋㅋㅋ,0.6426992416381836
2024-12-08 22:06:16,뭐야 저 병신은,,2,2.0,뭐야 저 병신은 ,뭐야 저 병신은,0.9382898807525635
2024-12-08 22:06:16,대 병 신 ㅋㅋㅋ,,2,2.0,대 병 신 ㅋㅋㅋ ,대 병 신 ㅋㅋㅋ,0.9054108262062073
