post_timestamp,post_title,post_content,Lap_Label,LapNumber
2024-12-02 01:05:57,윌리엄스 안도의 한숨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,일단 반파난건 아니네,1,1.0
2024-12-02 01:05:58,츠노다 포인트권 입갤 ㅋㅋ,ㅅㅅ,2,2.0
2024-12-02 01:05:58,콜라 김 다빠졌노 ㅋㅋㅋ,ㅈㅈ,2,2.0
2024-12-02 01:05:58,콜라핀토 저새끼 한정판 프론트윙 먹으려고 ㅋㅋㅋ,,2,2.0
2024-12-02 01:06:00,딱 P18P19P20 셋이 꼴박 ㅋㅋ,자우버 P17 확보,2,2.0
2024-12-02 01:06:01,몽골 스타트는 진짜 경이롭네,심리전 뭐냐진짜,2,2.0
2024-12-02 01:06:01,쥬지야 시발 무슨일이니,,2,2.0
2024-12-02 01:06:04,대노다 뭐야,- dc official App,2,2.0
2024-12-02 01:06:08,리플레이 빨리 보고싶네,뭔일이 있었던거야,2,2.0
2024-12-02 01:06:09,???: 야 다시 방 빼,형이야 ㅋㅋ,2,2.0
2024-12-02 01:06:14,한캐가 3땜 그분임?,"?
- dc official App",2,2.0
2024-12-02 01:06:15,저우왜 15임,에잉,2,2.0
2024-12-02 01:06:17,셒카 끝나고 바로 러셀이 노리스 딸거같으면 개추 ㄱㄱㄱ,"ㅋㅋㅋㅋㅋ
- dc official App",2,2.0
2024-12-02 01:06:17,아니 리플 보여줘,ㅇㅇ,2,2.0
2024-12-02 01:06:17,콜라가 시작하자마자 리타한이유,호르몬 난쟁이때문에,2,2.0
2024-12-02 01:06:18,츠노다 4업 뭐임 ㄷㄷㄷ,ㄷㄷㄷㄷ,2,2.0
2024-12-02 01:06:18,RB 스타트 좋네,,2,2.0
2024-12-02 01:06:20,페레즈 뭐노,"오늘 다른 사람 빙의함?
- dc official App",2,2.0
2024-12-02 01:06:20,응 하나남은 프론트윙 내꺼야,내가 가져갈거야,2,2.0
2024-12-02 01:06:20,동양의 자랑 츠노다 포인트권 진입,"내가 간다 포인트!
- dc official App",2,2.0
2024-12-02 01:06:24,이러면 막스 개손해아님?,"하.. 시발 막스야 1위해라
- dc official App",2,2.0
2024-12-02 01:06:25,콜라 펩시제로라임이네 오늘 시발,ㅋㅋ,2,2.0
2024-12-02 01:06:26,피아제 왜 밀렸노 씹,십,2,2.0
2024-12-02 01:06:28,전트야 미안하다 니탓이 아닌갑다..,- dc official App,2,2.0
2024-12-02 01:06:30,마샬 총투입ㄷㄷㄷㄷ,ㄷㄷ,2,2.0
2024-12-02 01:06:31,벤츠 셒카,올만이네,2,2.0
2024-12-02 01:06:32,노콘 리타이어 ㅋ,,2,2.0
2024-12-02 01:06:38,콜라 이제 제고콜라되버렷노 ㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋ,2,2.0
2024-12-02 01:06:42,뭔가 익숙한 GOAT의 기운이 보인다,,2,2.0
2024-12-02 01:06:44,하스.뒤털기 뭐냐 ㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋ,2,2.0
2024-12-02 01:06:47,헐크가 몸통박치기 했네,ㅅㅂㅋㅋㅋㅋ,2,2.0
2024-12-02 01:06:48,콜라 억까당했노,- dc official App,2,2.0
2024-12-02 01:06:49,콜라 4GP 7박살 ㅋㅋㅋㅋㅋ,이 새끼는 그냥 파괴신임 ㅋㅋㅋ,2,2.0
2024-12-02 01:06:50,그레잇 스타트는 역시 체평 ㅋㅋㅋㅋ,,2,2.0
2024-12-02 01:06:51,와씹 오콘ㅋㅋㅋ,2대를 담구네,2,2.0
2024-12-02 01:06:51,소물소리스ㅋㅋㅋㅋ,,2,2.0
2024-12-02 01:06:51,콜라핀토 주가가 떨어지다ㅜ못해 상장폐지 가냐?,,2,2.0
2024-12-02 01:06:52,콜라 잘못이 아니네 사고,ㅇㅇ,2,2.0
2024-12-02 01:06:52,르끌 이새끼 요즘 스타트 야물딱지네,,2,2.0
2024-12-02 01:06:53,노리스의 시련이 계속됩니다,스타트 드디어 대성공했는데 다시 롤링스타트 입갤 ㅋㅋ,2,2.0
2024-12-02 01:06:55,헐크 잘못 아니냐 저건?,음,2,2.0
2024-12-02 01:06:58,윌 프론트윙 돗대 까냐?,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,2.0
2024-12-02 01:06:59,오콘 다이브밤 한 거 같은데,"ㅋㅋ
- dc official App",2,2.0
2024-12-02 01:06:59,메르 셒카 개오랜만인거같은데,,2,2.0
2024-12-02 01:06:59,■ 또 증명됨 ■,,2,2.0
2024-12-02 01:07:00,방금왔는데 뭔일이야,세카 떠있는데,2,2.0
2024-12-02 01:07:03,저거 노리스가 막스 PTSD 있어서 피한거임 ㅇㅇ,,2,2.0
2024-12-02 01:07:03,콜라는 무죄네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㄹㅇ,2,2.0
2024-12-02 01:07:04,콜라가 잘못한건 아니었네,아,2,2.0
2024-12-02 01:07:06,콜라 어뢰맞았네ㅋㅋㅋ,,2,2.0
2024-12-02 01:07:08,헐크가 다 담궜노ㅋㅋㅋㅋ,,2,2.0
2024-12-02 01:07:09,헐크 시발아,혼자만살아가네,2,2.0
2024-12-02 01:07:09,콜라 억까당했네 ㅋㅋㅋㅋㅋ,,2,2.0
2024-12-02 01:07:10,근데 저러면 저 두명은 경기 끝임?,"개꿀이노 ㅋㅋ 월루하노
- dc official App",2,2.0
2024-12-02 01:07:11,보타스 개잘했노 ㅋㅋㅋ,- dc official App,2,2.0
2024-12-02 01:07:13,콜라 잘못은 아니네,ㅇㅇ,2,2.0
2024-12-02 01:07:13,와 알틀딱 스타트 개미챴네ㄷㄷㄷㄷㄷㄷ,,2,2.0
2024-12-02 01:07:13,아니 콜라 지분 없네 ㅋㅋㅋㅋㅋㅋㅋ,,2,2.0
2024-12-02 01:07:14,콜라는 그냥 당한거네,,2,2.0
2024-12-02 01:07:16,헐크 어뢰ㅋㅋㅋㅋ,- dc official App,2,2.0
2024-12-02 01:07:15,헐크 더블킬 ㅋㅋㅋㅋㅋㅋㅋ,,2,2.0
2024-12-02 01:07:16,헐크 그냥 담궈버리노 ㅋㅋㅋㅋ,- dc official App,2,2.0
2024-12-02 01:07:16,?ㅋㅋㅋㅋㅋㅋ,- dc official App,2,2.0
2024-12-02 01:07:16,아 헐크가,저런,2,2.0
2024-12-02 01:07:16,헐크 더블킬ㅋㅋㅋㅋㅋ,ㅌㅋㅌㅋ,2,2.0
2024-12-02 01:07:18,헐크가 당구쳤네 ㅋㅋㅋ,- dc official App,2,2.0
2024-12-02 01:07:19,헐크가 꽂았놐ㅋㅋ,,2,2.0
2024-12-02 01:07:21,헐크 씨발 ㅋㅋㅋㅋㅋㅋ,,2,2.0
2024-12-02 01:07:22,헐크 경쟁자 처리 성공 ㅋㅋㅋㅋㅋㅋㅋ,,2,2.0
2024-12-02 01:07:23,아 훌켄이 찔어넣은거구나,,2,2.0
2024-12-02 01:07:26,츠노다 포인트권 ㅋㅋㅋㅋㅋ,대 노 다 콜 업 해,2,2.0
2024-12-02 01:07:28,노리스 우승은 안된다,막스야 힘내봐,2,2.0
2024-12-02 01:07:30,??? 와 헐크 ㅋㅋㅋ,,2,2.0
2024-12-02 01:07:32,컨챔 정상화는 역시 헐평 ㅋㅋㅋㅋ,,2,2.0
2024-12-02 01:07:33,콜라핀토 이번엔 불쌍하노 ㅋㅋㅋ,ㅋㅋㅋ,2,2.0
2024-12-02 01:07:35,오콘 샌드위치 당했노 ㅋㅋㅋㅋ,,2,2.0
2024-12-02 01:07:37,헐크 당구 지리네,- dc official App,2,2.0
2024-12-02 01:07:38,헐크 하프 경의 품격했네 ㅋㅋㅋㅋ,리타 안한것만으로도 다행인건가 ㅋㅋㅋㅋ,2,2.0
2024-12-02 01:07:39,헐크 리버스 경의 품격해버리노 ㅋㅋㅋㅋㅋ,"뒷바퀴로 하노 ㅋㅋㅋㅋㅋㅋ
- dc official App",2,2.0
2024-12-02 01:07:41,헐크가 쓸어먹었네 ㅋㅋㅋㅋ,두 차 동시에 담구는 건 또 오랜만,2,2.0
2024-12-02 01:07:41,콜라무죄 ㅋㅋㅋㅋ,ㅋㅋㅋ,2,2.0
2024-12-02 01:07:42,콜라 억까 뭐에요?,"나쁜 엪붕이들아
- dc official App",2,2.0
2024-12-02 01:07:42,경?의 품격 ㅋㅋ,,2,2.0
2024-12-02 01:07:45,늙었다는건 살아남았다는것,,2,2.0
2024-12-02 01:07:46,헐크 이 미친놈 ㅋㅋㅋㅋㅋㅋㅋ,"두명을 담궈버리네ㅋㅋㅋㅋㅋ
- dc official App",2,2.0
2024-12-02 01:07:47,헐크신 시발 북딱스 무브 ㅋㅋㅋㅋㅋㅋㅋ,역시 베테랑이다 ㅋㅋㅋ,2,2.0
2024-12-02 01:07:48,하드끼고 민폐 오지네 ㅋㅋㅋㅋㅋ,Zzz,2,2.0
2024-12-02 01:07:48,안그래도 무너지기 직전 윌 시원하게 날려먹노ㅠㅠ,,2,2.0
2024-12-02 01:07:53,헐크 컨챔 경쟁자 둘 제거 ㅋㅋㅋㅋㅋ,,2,2.0
2024-12-02 01:07:56,윌은 시발 ㅋㅋㅋ,ㅋㅋㅋㅋㅋ,2,2.0
2024-12-02 01:07:56,저거 경의 품격 아니냐,"리어로 툭
- dc official App",2,2.0
2024-12-02 01:07:59,윌 억까 미쳤네 ㅋㅋㅋ,,2,2.0
2024-12-02 01:08:00,좆트롤 씨발 ㅋㅋㅋㅋ,,2,2.0
2024-12-02 01:08:01,개트롤 ㅋㅋㅋㅋㅋㅋㅋ,,2,2.0
2024-12-02 01:08:02,윌을 다 죽이노 ㅋㅋㅋㅋㅋㅋㅋ,,2,2.0
